row,part_idx,part_name,stage,mass_t,ax,ay,az,bx,by,bz,power_kn,eP,eY,eR,useZ
PART,12,TE.19.F9.S1.Interstage,6,1.0034,-19.81598,11.57447,-7.202484,0,0,0,0,0,0,0,0
PART,13,TE.19.F9.S1.Tank,6,433.572,-3.374202,2.03106,-1.261495,0,0,0,0,0,0,0,0
PART,14,TE.19.F9.S1.Engine,8,6.3228,13.82317,-7.950956,4.95246,0,0,0,0,0,0,0,0
PART,15,TE.Ghidorah.Erector,7,1000,15.93516,-9.176617,5.715762,0,0,0,0,0,0,0,0
PART,16,KRE-FalconLegMk2-M,6,2,14.05811,-7.121017,6.127945,0,0,0,0,0,0,0,0
PART,17,KRE-FalconLegMk2-M,6,2,14.75529,-7.12112,4.199013,0,0,0,0,0,0,0,0
PART,18,KRE-FalconLegMk2-M,6,2,13.83115,-8.921475,3.865078,0,0,0,0,0,0,0,0
PART,19,KRE-FalconLegMk2-M,6,2,13.13333,-8.920982,5.793768,0,0,0,0,0,0,0,0
PART,20,TE2.19.F9.CGT,6,0.2847,-18.8112,11.35578,-8.804261,0,0,0,0,0,0,0,0
RCSMOD,20,TE2.19.F9.CGT,6,4,0,0,0,0,0,0,10,1,1,1,0
THRUSTER,20,TE2.19.F9.CGT,6,0,-18.76229,11.34514,-8.882267,-0.3398389,-1.400709E-06,0.9404839,10,1,1,1,0
THRUSTER,20,TE2.19.F9.CGT,6,0,-18.68919,11.44243,-8.813681,-0.5396756,-0.8248067,0.1686539,10,1,1,1,0
THRUSTER,20,TE2.19.F9.CGT,6,0,-18.8059,11.21509,-8.855854,0.3072122,0.8248063,0.4746751,10,1,1,1,0
THRUSTER,20,TE2.19.F9.CGT,6,0,-18.67266,11.28529,-8.807705,-0.8919488,0.4502407,0.04136401,10,1,1,1,0
PART,21,TE2.19.F9.CGT,6,0.2847,-20.06718,11.35577,-5.328404,0,0,0,0,0,0,0,0
RCSMOD,21,TE2.19.F9.CGT,6,4,0,0,0,0,0,0,10,1,1,1,0
THRUSTER,21,TE2.19.F9.CGT,6,0,-20.07943,11.34514,-5.237155,0.3398387,1.2815E-06,-0.9404837,10,1,1,1,0
THRUSTER,21,TE2.19.F9.CGT,6,0,-20.09609,11.21509,-5.285346,0.5396758,0.8248065,-0.168654,10,1,1,1,0
THRUSTER,21,TE2.19.F9.CGT,6,0,-19.97938,11.44242,-5.243173,-0.3072124,-0.8248056,-0.4746749,10,1,1,1,0
THRUSTER,21,TE2.19.F9.CGT,6,0,-19.96284,11.28529,-5.237197,-0.6594852,0.4502416,-0.601965,10,1,1,1,0
PART,22,Grid Fin M Titanium,6,0.2,-19.4713,12.55811,-5.741925,0,0,0,0,0,0,0,0
PART,23,Grid Fin M Titanium,6,0.2,-18.6175,12.55816,-8.105362,0,0,0,0,0,0,0,0
PART,24,Grid Fin M Titanium,6,0.2,-19.74983,10.35239,-8.51467,0,0,0,0,0,0,0,0
PART,25,Grid Fin M Titanium,6,0.2,-20.6038,10.35233,-6.151155,0,0,0,0,0,0,0,0
PART,26,B10.NDS,0,0.2,-37.85708,22.04604,-13.72144,0,0,0,0,0,0,0,0
