row,part_idx,part_name,stage,mass_t,ax,ay,az,bx,by,bz,power_kn,eP,eY,eR,useZ
THRUSTER,8,TE.F9.S2.RCS,4,0,-39.34029,24.35904,-15.50301,-0.5332831,0.8432925,0.06684713,0.5,1,1,1,0
THRUSTER,8,TE.F9.S2.RCS,4,0,-39.33239,24.38755,-15.44097,-0.6309131,0.6367871,-0.4432295,0.5,1,1,1,0
PART,9,TE.F9.S2.RCS,4,0.02251,-40.42857,22.45766,-15.87033,0,0,0,0,0,0,0,0
RCSMOD,9,TE.F9.S2.RCS,4,3,0,0,0,0,0,0,0.5,1,1,1,0
THRUSTER,9,TE.F9.S2.RCS,4,0,-40.31112,22.47253,-15.85319,-0.9936094,-0.0533214,-0.09948446,0.5,1,1,1,0
THRUSTER,9,TE.F9.S2.RCS,4,0,-40.38335,22.38984,-15.77958,-0.3969276,0.6092353,-0.6864994,0.5,1,1,1,0
THRUSTER,9,TE.F9.S2.RCS,4,0,-40.33574,22.43325,-15.80351,-0.8133721,0.2813963,-0.5091583,0.5,1,1,1,0
PART,10,TE.F9.S2.RCS,4,0.02251,-41.20649,22.45766,-13.71745,0,0,0,0,0,0,0,0
RCSMOD,10,TE.F9.S2.RCS,4,3,0,0,0,0,0,0,0.5,1,1,1,0
THRUSTER,10,TE.F9.S2.RCS,4,0,-41.11546,22.39129,-13.75767,-0.744068,0.6092359,0.2742171,0.5,1,1,1,0
THRUSTER,10,TE.F9.S2.RCS,4,0,-41.10324,22.47265,-13.65423,-0.8277077,-0.05332168,-0.5586208,0.5,1,1,1,0
THRUSTER,10,TE.F9.S2.RCS,4,0,-41.09238,22.43325,-13.70949,-0.9509683,0.2813972,-0.1283597,0.5,1,1,1,0
PART,11,TE.F9.S2.RCS,4,0.02251,-40.17493,24.46689,-13.34471,0,0,0,0,0,0,0,0
RCSMOD,11,TE.F9.S2.RCS,4,3,0,0,0,0,0,0,0.5,1,1,1,0
THRUSTER,11,TE.F9.S2.RCS,4,0,-40.13563,24.36104,-13.30521,-0.3673812,0.8432914,-0.3922893,0.5,1,1,1,0
THRUSTER,11,TE.F9.S2.RCS,4,0,-40.06018,24.44186,-13.37765,-0.9640628,0.1807346,0.1947257,0.5,1,1,1,0
THRUSTER,11,TE.F9.S2.RCS,4,0,-40.08903,24.38755,-13.34695,-0.7685087,0.6367865,-0.06243089,0.5,1,1,1,0
PART,12,TE.19.F9.S1.Interstage,6,1.0034,-35.61565,20.74229,-12.91427,0,0,0,0,0,0,0,0
PART,13,TE.19.F9.S1.Tank,6,433.572,-19.17387,11.19887,-6.973274,0,0,0,0,0,0,0,0
PART,14,TE.19.F9.S1.Engine,8,6.3228,-1.975174,1.216105,-0.7587795,0,0,0,0,0,0,0,0
PART,15,TE.Ghidorah.Erector,7,1000,0.1371002,-0.009935379,0.004459381,0,0,0,0,0,0,0,0
PART,16,KRE-FalconLegMk2-M,6,2,-1.740723,2.046106,0.4163418,0,0,0,0,0,0,0,0
PART,17,KRE-FalconLegMk2-M,6,2,-1.043724,2.046104,-1.512621,0,0,0,0,0,0,0,0
PART,18,KRE-FalconLegMk2-M,6,2,-1.967983,0.2458496,-1.846588,0,0,0,0,0,0,0,0
PART,19,KRE-FalconLegMk2-M,6,2,-2.664986,0.2458515,0.08237648,0,0,0,0,0,0,0,0
PART,20,TE2.19.F9.CGT,6,0.2847,-34.61089,20.52359,-14.51605,0,0,0,0,0,0,0,0
RCSMOD,20,TE2.19.F9.CGT,6,4,0,0,0,0,0,0,10,1,1,1,0
THRUSTER,20,TE2.19.F9.CGT,6,0,-34.56198,20.51295,-14.59406,-0.3398305,1.132488E-06,0.940487,10,1,1,1,0
THRUSTER,20,TE2.19.F9.CGT,6,0,-34.48888,20.61024,-14.52547,-0.539686,-0.8247995,0.1686565,10,1,1,1,0
THRUSTER,20,TE2.19.F9.CGT,6,0,-34.60559,20.3829,-14.56765,0.3072282,0.8248009,0.4746746,10,1,1,1,0
THRUSTER,20,TE2.19.F9.CGT,6,0,-34.47234,20.4531,-14.5195,-0.8919422,0.4502535,0.04137316,10,1,1,1,0
PART,21,TE2.19.F9.CGT,6,0.2847,-35.86684,20.52359,-11.04019,0,0,0,0,0,0,0,0
RCSMOD,21,TE2.19.F9.CGT,6,4,0,0,0,0,0,0,10,1,1,1,0
THRUSTER,21,TE2.19.F9.CGT,6,0,-35.87909,20.51295,-10.94894,0.3398303,-9.536743E-07,-0.9404868,10,1,1,1,0
THRUSTER,21,TE2.19.F9.CGT,6,0,-35.89575,20.38291,-10.99713,0.5396861,0.8247996,-0.1686567,10,1,1,1,0
THRUSTER,21,TE2.19.F9.CGT,6,0,-35.77903,20.61024,-10.95495,-0.3072284,-0.8248,-0.4746743,10,1,1,1,0
THRUSTER,21,TE2.19.F9.CGT,6,0,-35.7625,20.4531,-10.94898,-0.6594843,0.4502527,-0.6019579,10,1,1,1,0
PART,22,Grid Fin M Titanium,6,0.2,-35.2701,21.72546,-11.45332,0,0,0,0,0,0,0,0
PART,23,Grid Fin M Titanium,6,0.2,-34.41605,21.72546,-13.81689,0,0,0,0,0,0,0,0
PART,24,Grid Fin M Titanium,6,0.2,-35.54856,19.5196,-14.22611,0,0,0,0,0,0,0,0
PART,25,Grid Fin M Titanium,6,0.2,-36.4026,19.5196,-11.86253,0,0,0,0,0,0,0,0
PART,26,B10.NDS,0,0.2,-53.65657,31.21391,-19.43309,0,0,0,0,0,0,0,0
